Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2017-05-07,153.52,155.78,153.0,155.05,12521335.0,0.0,1.0,144.28620209361534,146.41026942511334,143.7974786368105,145.72417687998347,12521335.0
2017-04-30,160.5,160.59,159.7,160.29,4154147.0,0.0,1.0,150.84637464841887,150.93096140055818,150.09449240718064,150.64900556009383,4154147.0
2017-04-23,162.05,162.11,160.38,160.38,5607756.0,0.0,1.0,152.30314649081794,152.3595376589108,150.73359231223313,150.73359231223313,5607756.0
2017-04-16,169.92,171.36,169.53,169.53,3205462.0,0.0,1.0,159.69978803899895,161.05317607322777,159.33324544639532,159.33324544639532,3205462.0
2017-04-09,172.08,172.93,171.28,172.14,3588302.0,0.0,1.0,161.7298700903422,162.52874497165777,160.97798784910395,161.78626125843502,3588302.0
2017-04-02,173.98,174.95,173.69,174.14,2913684.0,0.0,1.0,163.51559041328295,164.42724763078428,163.24303310083408,163.6659668615306,2913684.0
2017-03-26,175.12,175.5,173.39,173.83,3221672.0,0.0,1.0,164.58702260704743,164.94416667163557,162.96107726036973,163.3746124930508,3221672.0
2017-03-19,176.29,176.79,175.65,175.65,5920967.0,0.0,1.0,165.68665038485832,166.1565767856322,165.08514459186776,165.08514459186776,5920967.0
2017-03-12,178.21,179.49,177.42,177.83,3100116.0,0.0,1.0,167.49116776383008,168.69417934981124,166.7486840506073,167.1340236992419,3100116.0
2017-03-05,180.04,181.32,179.7649,180.05,1825048.0,0.0,1.0,169.2110983906625,170.41410997664366,168.95254488495672,169.22049691867798,1825048.0
2017-02-26,180.21,181.49,179.89,181.35,3299019.0,0.0,1.0,169.37087336692562,170.57388495290678,169.0701204704303,170.4423055606901,3299019.0
2017-02-19,181.25,181.57,180.0,180.67,3552305.0,0.0,1.0,170.34832028053532,170.6490731770306,169.1735042786006,169.80320565563758,3552305.0
2017-02-12,177.37,178.8701,176.76,178.68,2930710.0,0.0,1.0,166.70169141052992,168.11156459813176,166.12838120158577,167.93289858055752,2930710.0
2017-02-05,175.0,176.34,174.89,175.82,3309179.0,0.0,1.0,163.17749005191024,164.42696340430774,163.0749213438776,163.94209314815348,3309179.0
